	idx	token	start_char	end_char
0	0	ذكر	0	3
1	1	من	4	6
2	2	حدث	7	10
3	3	عنه	11	14
4	4	ابن	15	18
5	5	أبي	19	22
6	6	عروبة	23	28
7	7	ولم	29	32
8	8	يسمع	33	37
9	9	منه	38	41
10	0	لم	42	44
11	1	يسمع	45	49
12	2	من	50	52
13	3	عمرو	53	57
14	4	بن	58	60
15	5	دينار	61	66
16	0	ولا	67	70
17	1	من	71	73
18	2	هشام	74	78
19	3	بن	79	81
20	4	عروة	82	86
21	0	ولا	87	90
22	1	من	91	93
23	2	زيد	94	97
24	3	بن	98	100
25	4	إسلم	101	105
26	0	ولا	106	109
27	1	من	110	112
28	2	عبيد	113	117
29	3	الله	118	122
30	4	بن	123	125
31	5	عمر	126	129
32	0	ولا	130	133
33	1	من	134	136
34	2	أبي	137	140
35	3	الزناد	141	147
36	0	ولا	148	151
37	1	من	152	154
38	2	الحكم	155	160
39	0	ولا	161	164
40	1	من	165	167
41	2	حماد	168	172
42	0	ولا	173	176
43	1	من	177	179
44	2	إسماعيل	180	187
45	3	بن	188	190
46	4	أبي	191	194
47	5	خالد	195	199
