	idx	token	start_char	end_char
0	0	ذكر	0	3
1	1	من	4	6
2	2	حدث	7	10
3	3	عنه	11	14
4	4	بن	15	17
5	5	أبي	18	21
6	6	عروبة	22	27
7	7	ولم	28	31
8	8	يسمع	32	36
9	9	منه	37	40
10	0	لم	41	43
11	1	يسمع	44	48
12	2	من	49	51
13	3	عمرو	52	56
14	4	بن	57	59
15	5	دينار	60	65
16	0	ولا	66	69
17	1	هشام	70	74
18	2	بن	75	77
19	3	عروة	78	82
20	0	ولا	83	86
21	1	من	87	89
22	2	زيد	90	93
23	3	بن	94	96
24	4	أسلم	97	101
25	0	ولا	102	105
26	1	من	106	108
27	2	عبيد	109	113
28	3	الله	114	118
29	4	بن	119	121
30	5	عمر	122	125
31	0	ولا	126	129
32	1	من	130	132
33	2	أبي	133	136
34	3	الزناد	137	143
35	0	ولا	144	147
36	1	من	148	150
37	2	الحكم	151	156
38	0	ولا	157	160
39	1	من	161	163
40	2	حماد	164	168
41	0	ولا	169	172
42	1	من	173	175
43	2	إسماعيل	176	183
44	3	بن	184	186
45	4	أبي	187	190
46	5	خالد	191	195
