	idx	token	start_char	end_char
0	0	ذكر	0	3
1	1	من	4	6
2	2	حدث	7	10
3	3	عنه	11	14
4	4	ابن	15	18
5	5	أبي	19	22
6	6	عروبة	23	28
7	7	ولم	29	32
8	8	يسمع	33	37
9	9	منه	38	41
10	0	لم	42	44
11	1	يسمع	45	49
12	2	من	50	52
13	3	عمرو	53	57
14	4	بن	58	60
15	5	دينار	61	66
16	6	ولا	67	70
17	7	من	71	73
18	8	هشام	74	78
19	9	بن	79	81
20	10	عروة	82	86
21	11	ولا	87	90
22	12	من	91	93
23	13	زيد	94	97
24	14	بن	98	100
25	15	أسلم	101	105
26	16	ولا	106	109
27	17	من	110	112
28	18	عبيد	113	117
29	19	الله	118	122
30	20	بن	123	125
31	21	عمر	126	129
32	22	ولا	130	133
33	23	من	134	136
34	24	أبي	137	140
35	25	الزناد	141	147
36	26	ولا	148	151
37	27	من	152	154
38	0	الحكم	155	160
39	1	ولا	161	164
40	2	من	165	167
41	3	حماد	168	172
42	4	ولا	173	176
43	5	من	177	179
44	6	إسماعيل	180	187
45	7	بن	188	190
46	8	أبي	191	194
47	9	خالد	195	199
